;GL_bam_ID;CL_bam_ID;annovar_path;snplist_path
23;GERM_E31;CLLCD92;./07_annovar/GERM_E31vsCLLCD92.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_E31vsCLLCD92.xlsx
24;GERM_E31;CLLCD95;./07_annovar/GERM_E31vsCLLCD95.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_E31vsCLLCD95.xlsx
25;GERM_E31;CLL_E31;./07_annovar/GERM_E31vsCLL_E31.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_E31vsCLL_E31.xlsx
26;GERM_E31;TX_Q82;./07_annovar/GERM_E31vsTX_Q82.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_E31vsTX_Q82.xlsx
27;GERM_F3;CLL_F3;./07_annovar/GERM_F3vsCLL_F3.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_F3vsCLL_F3.xlsx
30;GL111TCL;CLL111TCL;./07_annovar/GL111TCLvsCLL111TCL.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GL111TCLvsCLL111TCL.xlsx
31;GL111TCL;CLL72TX;./07_annovar/GL111TCLvsCLL72TX.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GL111TCLvsCLL72TX.xlsx
32;GL111TCL;CLL73TX;./07_annovar/GL111TCLvsCLL73TX.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GL111TCLvsCLL73TX.xlsx
33;GL82TCL;CLL121TX;./07_annovar/GL82TCLvsCLL121TX.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GL82TCLvsCLL121TX.xlsx
34;GL82TCL;CLL122TX;./07_annovar/GL82TCLvsCLL122TX.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GL82TCLvsCLL122TX.xlsx
35;GL82TCL;CLL82TCL;./07_annovar/GL82TCLvsCLL82TCL.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GL82TCLvsCLL82TCL.xlsx
36;GL91TCL;CLL125TX;./07_annovar/GL91TCLvsCLL125TX.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GL91TCLvsCLL125TX.xlsx
37;GL91TCL;CLL91TCL;./07_annovar/GL91TCLvsCLL91TCL.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GL91TCLvsCLL91TCL.xlsx
38;GERM1;CLL4;./07_annovar/GERM1vsCLL4.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM1vsCLL4.xlsx
39;GERM1;CLL3;./07_annovar/GERM1vsCLL3.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM1vsCLL3.xlsx
40;GERM1;CLL2;./07_annovar/GERM1vsCLL2.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM1vsCLL2.xlsx
41;GERM1;CLL1;./07_annovar/GERM1vsCLL1.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM1vsCLL1.xlsx
